,caseid,year__wmode_match,pid3__wmode_match,300_1__wmode_match,300_2__wmode_match,300_3__wmode_match,300_4__wmode_match,302__wmode_match,303__wmode_match,305_1__wmode_match,305_2__wmode_match,305_3__wmode_match,305_4__wmode_match,305_5__wmode_match,305_6__wmode_match,305_7__wmode_match,305_9__wmode_match,305_10__wmode_match,305_11__wmode_match,305_12__wmode_match,305_13__wmode_match,307__wmode_match,309e__wmode_match,309dx_1__wmode_match,309dx_2__wmode_match,309dx_3__wmode_match,309dx_4__wmode_match,309dx_5__wmode_match,309dx_6__wmode_match,309dx_7__wmode_match,309dx_8__wmode_match,310a__wmode_match,310b__wmode_match,320a__wmode_match,320b__wmode_match,320c__wmode_match,327a__wmode_match,327b__wmode_match,327d__wmode_match,330a__wmode_match,330b__wmode_match,330c__wmode_match,331a__wmode_match,331b__wmode_match,331d__wmode_match,332a__wmode_match,332b__wmode_match,332c__wmode_match,332d__wmode_match,332e__wmode_match,332f__wmode_match,332g__wmode_match,333a__wmode_match,333b__wmode_match,333c__wmode_match,333d__wmode_match,334a__wmode_match,334b__wmode_match,334c__wmode_match,334d__wmode_match,334e__wmode_match,334f__wmode_match,334g__wmode_match,334h__wmode_match,355a__wmode_match,355e__wmode_match,363__wmode_match,overall_wmode_match_mean
0,1249937987,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,0.8333333333333334
1,1244727923,True,False,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,0.8333333333333334
2,1242475831,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,False,True,False,True,False,False,True,False,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,0.696969696969697
3,1245012269,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,0.8333333333333334
4,1241022359,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True,False,False,True,True,False,True,False,False,False,0.6515151515151515
5,1239356641,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,True,True,True,True,True,True,True,False,False,False,True,False,True,True,False,False,False,True,True,True,True,True,False,True,True,False,False,False,True,True,True,True,True,True,False,False,True,True,False,False,False,0.6666666666666666
6,1236207023,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.8939393939393939
7,1244526205,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,True,False,False,False,False,True,False,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,False,False,0.6515151515151515
8,1232663321,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,0.8484848484848485
9,1245162103,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,True,0.7727272727272727
10,1237598511,True,True,True,True,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,True,False,False,True,0.6060606060606061
11,1242526779,True,False,False,False,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,True,False,True,True,0.5151515151515151
12,1245177145,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,True,True,True,True,True,False,False,False,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,False,0.7272727272727273
13,1240705581,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,False,True,True,False,False,True,True,True,False,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,False,True,True,True,True,False,True,True,True,0.7424242424242424
14,1242478789,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,True,0.8636363636363636
15,1234863299,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,False,True,True,True,True,True,False,False,False,False,False,False,True,,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,False,True,False,False,False,,False,True,0.65625
16,1238079387,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,0.8484848484848485
17,1246578297,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,0.8484848484848485
18,1235567217,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,False,False,False,True,False,False,True,False,False,False,True,True,True,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,0.6666666666666666
19,1236688157,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,False,False,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,True,0.7575757575757576
20,1255869345,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,False,False,True,False,True,False,False,False,True,True,True,True,False,False,0.6212121212121212
21,1242431703,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,True,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True,True,True,False,False,True,True,False,False,False,False,False,0.5757575757575758
22,1237858209,True,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,0.5454545454545454
23,1242787135,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,False,False,False,True,False,False,False,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,0.696969696969697
24,1242429083,True,False,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,True,True,False,True,False,True,False,False,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,0.6363636363636364
